,n_burnin,acc_pl,acc_prob
0,100,0.0014548219482226257,0.0017840717447196912
1,400,0.0014577487752043868,0.0017035781137288283
2,700,0.001455240088623953,0.001723375011028862
3,1000,0.0014568224728797603,0.0017288411842799392
4,1300,0.0014572346829182905,0.0017181673216967073
5,1600,0.0014567065452106827,0.0017307411207759399
6,1900,0.00146047845835633,0.001737402401460928
7,2200,0.001462570729727564,0.0017709087659230388
8,2500,0.0014648226379526388,0.0017833021518824028
9,2800,0.0014634804902995862,0.001821128822446712
10,3100,0.0014602644451601097,0.0018167607312442888
11,3400,0.0014604538463509236,0.0018326261938155597
12,3700,0.001459527731761476,0.0018558286813382039
13,4000,0.0014532860351729703,0.001936238772954319
14,4300,0.001451043901191721,0.001974779710606926
15,4600,0.0014487898074424298,0.0019988935394321342
16,4900,0.0014472053331430854,0.0020175196096365055
17,5200,0.0014478538981125798,0.0020330382158029884
18,5500,0.0014516251850604867,0.0020349883336710653
19,5800,0.0014617389923413562,0.0020073300834672824
